Time_us,Sample
352,2273
2360,2186
4252,2129
6056,2231
7952,1960
9764,2138
11660,2164
13752,2177
15852,1955
17952,1871
20052,2250
22152,1977
24156,2068
26264,2168
28264,2117
30360,1941
32456,1986
34564,1929
36660,1965
38760,2197
40760,2207
42856,1799
44952,1944
47052,1943
49160,2032
51260,1969
53360,2256
55460,2044
57464,1963
59564,2225
61660,2217
63760,2008
65856,2045
67860,1872
69956,2191
72056,1978
74060,2150
76156,1960
78252,2074
80356,2177
82456,1982
84556,2268
86556,1980
88652,2216
90756,1965
92856,1987
94956,1930
96960,2105
99056,2105
101060,1980
103264,2273
105652,2225
107864,2148
110164,1955
112460,2068
114764,1965
117064,2184
119360,1914
121660,1912
123964,1882
126160,1964
128364,2136
130660,1787
132960,2188
135352,2210
137560,1962
139852,1962
142140,1968
144368,2049
146752,1977
149056,2012
151352,2020
153560,2231
155952,1987
158252,2107
160552,2054
162840,2150
165064,2172
167360,1990
169656,1896
171860,2080
174164,1890
176456,2095
178752,2134
181056,2224
183360,2230
185652,1824
187868,2258
190164,1868
192464,1904
194840,1949
197064,2162
199364,1946
201660,2192
203968,2174
206256,2185
208556,2109
210856,1952
213160,1847
215452,2003
217668,1969
219964,1922
222340,1944
224640,1974
226864,2064
229164,1881
231464,2212
233764,2084
236060,1950
238360,1975
240656,1955
242956,2124
245164,2259
247460,2167
249760,1872
252064,1948
254364,2151
256660,2211
258960,1955
261252,2183
263552,1878
265852,1932
268152,2140
270368,2269
272664,1815
274960,2139
277260,2234
279564,1928
281856,2232
284156,2185
286456,2041
288756,2199
291052,2134
293352,1939
295560,2138
297860,2064
300160,2162
302452,1953
304752,2184
307052,2008
309360,2132
311660,1889
313952,2238
316252,1904
318564,1911
320856,1973
323152,1883
325360,2181
327660,2019
329956,2161
332160,1868
334440,1968
336664,1903
339052,1990
341340,2137
343640,2000
345868,1984
348256,2094
350552,2243
352856,2191
355156,1936
357460,2291
359752,2155
362056,1946
364356,1972
366660,2233
368964,1980
371252,2065
373552,1808
375860,2115
378152,2143
380452,1963
382752,2153
385060,1898
387352,2024
389652,2087
391940,1822
394248,1875
396556,1916
398860,2195
401164,1890
403452,2082
405740,1998
408052,2200
410352,1949
412568,1885
414956,2026
417252,2176
419556,2104
421856,2238
424152,1986
426452,2031
428740,1853
431052,2078
433356,1895
435656,2030
437960,2035
440164,2197
442552,1917
444852,2215
447152,2259
449456,2223
451764,2256
454056,1929
456356,1970
458656,2195
460952,2234
463252,2120
465552,2052
467852,2195
470160,2105
472464,1960
474756,2084
477056,1960
479364,1904
481656,2138
483956,1817
486256,1898
488564,2077
490856,1904
493156,2209
495456,1974
497764,2218
500056,2071
502356,2224
504656,1919
506964,1979
509260,1968
511560,1955
513864,2229
516160,2002
518460,2003
520760,2280
522964,1929
525264,2255
527652,1888
529952,2138
532252,2185
534556,2241
536860,1900
539064,1886
541364,2132
543660,1880
545964,1949
548264,1964
550560,1950
552860,2138
555160,2106
557452,2128
559752,1960
562056,1923
564364,2149
566652,2143
568952,2049
571252,2242
573468,2135
575764,1899
578064,1930
580364,2178
582668,1966
584956,1997
587256,1988
589560,2164
591860,1822
594156,1954
596364,2220
598664,1956
600960,2184
603264,1973
605564,2059
607864,1940
610164,1974
612556,2166
614856,1951
617064,1863
619360,2086
621668,1991
623956,1965
626260,2055
628540,1856
630848,2018
633160,2029
635368,1954
637740,2000
640060,1901
642356,1955
644564,1941
646864,2207
649160,1942
651468,2213
653664,2222
655960,1816
658260,1946
660564,2231
662864,1935
665160,1939
667460,2218
669668,1945
672056,2145
674356,1955
676656,2129
678960,2245
681252,1888
683552,1883
685852,2167
688156,1955
690456,2154
692664,1951
694964,1792
697264,1833
699640,1973
701940,1873
704252,1937
706540,1885
708856,1945
711160,1949
713460,1889
715752,1969
718052,1937
720352,2044
722652,1947
724952,1937
727260,2214
729560,1973
731856,2061
734156,1806
736452,1856
738756,2031
741056,2202
743356,2116
745668,1969
747956,1970
750256,2205
752556,1957
754856,2186
757160,1959
759452,2013
761752,2045
764060,1912
766364,2000
768656,1802
770956,2208
773252,2124
775552,2149
777852,2272
780152,2019
782464,1964
784752,2059
787056,2075
789356,2255
791664,2190
793956,2003
796164,2248
798460,2149
800760,1902
803056,2139
805356,2158
807656,2135
809960,2096
812256,1947
814556,2218
816860,1959
819160,2197
821460,1945
823752,2128
826052,1935
828340,1935
830656,2151
832956,2021
835256,2223
837556,2200
839852,1994
842152,2208
844456,2206
846756,1918
849064,2047
851352,2013
853652,2109
855956,1879
858252,1929
860540,1882
862768,2137
865068,2014
867456,1884
869756,1846
871964,1943
874260,2069
876564,2181
878856,2242
881156,1946
883456,2149
885756,2001
888056,2026
890356,1784
892656,2234
894864,1988
897252,2140
899552,2234
901856,1899
904156,1942
906452,2001
908752,1996
910960,2115
913260,1771
915568,2011
917856,2002
920156,2046
922456,1955
924764,2032
927052,2291
929356,1835
931656,1898
933864,1895
936252,1894
938460,2184
940760,1931
943060,1881
945356,1988
947564,1874
949860,1920
952160,1990
954540,2101
956668,2135
959052,1999
961352,2185
963660,1963
965952,2000
968252,2033
970552,2195
972760,1961
975152,1942
977452,2145
979660,1973
981960,1833
984256,2011
986556,1886
988764,1974
991060,1999
993364,2065
995664,2137
997964,2189
1000264,1904
1002764,2211
1005252,1941
1007764,1879
1010256,2139
1012760,2125
1015264,2024
1017764,2138
1020264,2233
1022764,1955
1025264,2193
1027764,2237
1030356,2163
1032860,2228
1035356,1983
1037860,1924
1040360,1827
1042856,1848
1045356,1976
1047852,1882
1050260,1893
1052764,2140
1055352,2066
1057860,1948
1060360,2176
1062864,1972
