
Time_us,Sample
352,1958
2360,1998
4252,2022
6056,2038
7960,2041
9860,2010
11660,2054
13756,2038
15864,2037
17964,2012
20060,1965
22156,2029
24160,2041
26252,1952
28256,2086
30360,2025
32460,2027
34460,2053
36556,1967
38652,1978
40752,1974
42852,2051
44952,2087
46956,2044
49064,1999
51164,2030
53352,2001
55368,2001
57464,1989
59564,2052
61640,2034
63664,2085
65752,2046
67756,2037
69760,2068
71764,2045
73860,2080
75940,2016
78040,2054
80140,1984
82168,1950
84264,2056
86360,2009
88456,2030
90560,1983
92660,1999
94756,2017
96852,2124
98956,1923
100960,2084
103256,2035
105560,2059
107860,2018
110068,2003
112364,1959
114664,2050
117040,2043
119268,2046
121564,1977
123860,1940
126156,1978
128456,2052
130752,2037
133052,2020
135360,2041
137640,2023
139864,2099
142164,2012
144464,2016
146760,1959
149060,1981
151364,1989
153660,2019
155868,2008
158164,2046
160464,2013
162760,2058
165064,1994
167356,1991
169560,2015
171764,2031
174064,2039
176452,1993
178752,1998
181052,2070
183356,1996
185660,2036
187956,2056
190164,2075
192460,2101
194756,2018
197056,1992
199356,2060
201564,2001
203864,1991
206164,2018
208460,2037
210756,2007
213064,2056
215352,2009
217652,2030
219952,2061
222256,2102
224464,1999
226760,2024
229060,2042
231264,2054
233652,2016
235952,2033
238252,2019
240552,2044
242860,2023
245164,2053
247452,2032
249752,2060
252060,1994
254268,2078
256564,2043
258860,1948
261240,1992
263460,1973
265760,2070
268060,1959
270264,2023
272652,2073
274952,2015
277252,1985
279560,2027
281840,2106
284064,2021
286364,2000
288660,2002
290964,1955
293256,2045
295556,2062
297856,1992
300164,2066
302456,2029
304660,2074
306960,1970
309260,2031
311540,1965
313852,2064
316152,2000
318452,1993
320760,2021
322968,2023
325264,2030
327560,1995
329868,2053
332156,1988
334456,2009
336752,1994
339060,1998
341352,1998
343652,1951
345952,2085
348260,2015
350464,2075
352764,2059
355060,2018
357264,2061
359656,2007
361956,2065
364256,2056
366556,2090
368852,2010
371152,2033
373452,1981
375752,2103
378060,2005
380364,1986
382656,1957
384956,1982
387260,2033
389552,2008
391852,2053
394152,2060
396460,2071
398764,2096
401056,2031
403356,1975
405568,2007
407868,2061
410240,2017
412464,2013
414768,2028
417064,2037
419360,1945
421660,2031
423956,1971
426256,2058
428560,2070
430860,2009
433168,1991
435456,2024
437664,2004
439960,2090
442260,2003
444564,2026
446864,1996
449160,2056
451460,2040
453760,1990
456060,2058
458264,2000
460564,2044
462868,2057
465156,2048
467456,2027
469756,2032
472060,2068
474356,2000
476656,2023
478956,2041
481256,2050
483556,2026
485856,2030
488060,1980
490360,2020
492664,2018
494956,2000
497256,2024
499556,2025
501860,2013
504140,1983
506452,2055
508752,2042
511060,2020
513352,1975
515568,1973
517864,2026
520164,1987
522540,2058
524764,1990
527064,1984
529364,2022
531752,2026
534052,2023
536352,2029
538660,2041
540864,2028
543160,2086
545460,2015
547756,2076
550064,2033
552356,2023
554656,2036
556956,2001
559264,1971
561564,2063
563864,2016
566160,2065
568464,2001
570764,2033
573064,2047
575360,2038
577656,2003
579956,2078
582260,2094
584560,1992
586856,2011
589064,1963
591360,2019
593660,1991
595964,2003
598252,2026
600552,2015
602856,1998
605156,2062
607456,2032
609756,1969
612056,2004
614264,1995
616656,2089
618952,2074
621256,1982
623556,1975
625868,2051
628156,2056
630456,2009
632756,2008
635064,2041
637356,2016
639564,2080
641864,2018
644252,2024
646540,2081
648764,2045
651064,2027
653452,2069
655752,2011
658052,1995
660352,2002
662656,2015
664956,1959
667260,1975
669464,1960
671768,2053
674056,2046
676356,2032
678560,1972
680860,1990
683160,2097
685452,1996
687752,1982
690052,2051
692360,1991
694660,2031
696952,2050
699252,2030
701560,1962
703864,1979
706156,2008
708456,2021
710764,2008
713060,2034
715360,2015
717660,1986
720052,2073
722260,1957
724464,2019
726764,2068
729064,1999
731456,2059
733756,2004
736056,1971
738364,2032
740656,2016
742860,2077
745160,1987
747460,2053
749768,2035
752056,2085
754356,2056
756656,2070
758964,2045
761256,2021
763556,2061
765856,2037
768164,2060
770456,2030
772756,1996
775056,1985
777352,2028
779656,2076
781956,1988
784256,2030
786552,2004
788852,2054
791152,2012
793456,1990
795764,1982
798056,2062
800360,2025
802660,2013
804968,1949
807256,2028
809556,1996
811764,2057
814060,2026
816440,2044
818752,2021
821052,2086
823356,2063
825660,2091
827960,2062
830260,2009
832568,2018
834856,2079
837156,2032
839456,2066
841760,2025
844052,2016
846352,2005
848652,2060
850956,2056
853260,2028
855560,2014
857864,1984
860156,1998
862452,2080
864752,2044
867052,2006
869352,2007
871660,1969
873964,2013
876256,2058
878460,2068
880764,2068
883064,1993
885360,2023
887660,2065
889956,2007
892256,2002
894460,1965
896760,2025
899060,2054
901356,1978
903656,1989
905956,2060
908164,2043
910552,1969
912852,2037
915152,1984
917456,1992
919752,2055
922056,2049
924356,2062
926656,1939
928964,1998
931256,2019
933556,1948
935856,2016
938156,2050
940456,2044
942760,2014
945060,2049
947360,2023
949660,2066
951964,2007
954256,2044
956552,2003
958852,2027
961060,2019
963268,1993
965568,2053
967956,1999
970164,2081
972464,1977
974764,2032
977152,2058
979456,2050
981756,2027
984060,2070
986356,2008
988656,1957
990956,1993
993256,2056
995556,2093
997856,2075
1000064,1990
1002652,2099
1005064,2063
1007564,2021
1010156,2012
1012564,1979
1015064,2034
1017564,2081
1020060,2024
1022552,1983
1024964,2016
1027552,2078
1029960,1971
1032552,2038
1035056,2035
1037556,1997
1039964,1990
1042556,2030
1044964,2001
1047452,2054
1049952,2060
1052456,2048
1054952,2062
1057456,2036
1059956,2063
1062364,2041
1064864,2061
1067456,2003
1069868,2011
1072364,1964
1074864,1981
1077360,2074
1079864,2040
1082364,1944
1084864,2030
1087364,2035
1089956,1995
1092456,1995
1094956,2072
1097456,2070
1099960,2057
1102464,2059
1105052,2066
1107556,2002
1109964,2017
1112464,2018
1114964,1985
1117460,2100
1119964,2022
1122464,2048
1124964,2099
1127552,2021
1130056,2046
1132468,2056
1134964,2026
1137456,1973
1139964,2018
1142464,2021
1145052,1997
1147560,2005
1150068,1985
1152560,2016
1155060,2044
1157568,2016
1160152,1995
1162660,2054
1165152,2014
1167640,2060
1170152,1992
1172664,2000
1175156,1965
1177664,1986
1180164,2098
1182668,2062
1185168,2029
1187752,2067
1190264,2055
1192756,2030
1195264,2021
1197764,1994
1200356,2014
1202860,2075
1205360,2056
1207860,2032
1210364,2024
1212864,2065
1215368,1987
1217868,2037
1220452,2038
1222952,2008
1225456,1969
1227956,1994
1230460,2015
1232968,2033
1235456,2079
1237956,2039
1240540,2033
1243052,2012
1245560,2039
1248064,2004
1250560,2066
1253064,2012
1255560,2058
1258064,2057
1260652,2068
1263160,2038
1265664,1997
1268160,2047
1270664,2034
1273256,2038
1275668,2029
1278164,2034
1280656,2029
1283252,2045
1285660,2059
1288160,1982
1290752,1954
1293156,2065
1295664,2072
1298156,2054
1300664,1959
1303164,2068
1305660,2095
1308160,2067
1310660,2042
1313256,2026
1315756,2007
1318256,2012
1320756,2048
1323256,2055
1325760,2082
1328264,2035
1330756,2003
1333264,1975
1335764,2006
1338264,2011
1340756,1996
1343260,2008
1345840,2015
1348352,2038
1350768,2055
1353352,2022
1355860,2052
1358364,1965
1360856,2016
1363340,2026
1365852,2067
1368352,2030
1370856,2026
1373364,2057
1375856,2011
1378364,2018
1380868,2059
1383356,2020
1385864,2054
1388368,2011
1390864,2016
1393452,1994
1395940,2011
1398452,2042
1400964,2086
1403452,2061
1405864,2015
1408360,2004
1410860,1984
1413368,1986
1415856,2056
1418364,2053
1420864,1968
1423456,2011
1425960,2035
1428460,1999
1430960,2057
1433460,2013
1435956,2050
1438460,2026
1440964,2008
1443468,2041
1446060,1986
1448560,2000
1451152,2059
1453564,2063
1456064,1971
1458560,2046
1461060,2050
1463652,1989
1466060,2042
1468652,1988
1471156,2044
1473656,2014
1476064,2035
1478564,2053
1481056,2029
1483556,2015
1486068,2081
1488556,2073
1491060,2086
1493564,2053
1496152,2003
1498656,1998
1501160,2000
1503656,1989
1506160,2009
1508740,2007
1511160,2071
1513740,2056
1516256,2093
1518752,2000
1521256,2002
1523664,2028
1526256,2039
1528760,2048
1531256,2046
1533760,2077
1536352,2025
1538852,2005
1541352,2076
1543760,2015
1546268,2034
1548852,1974
1551356,2017
1553852,2054
1556264,2040
1558760,2000
1561264,1990
1563764,2008
1566264,1989
1568764,2000
1571356,2061
1573764,1983
1576360,2009
1578768,2037
1581268,2024
1583756,2039
1586264,2056
1588852,2047
1591360,2011
1593852,2007
1596356,2059
1598856,2022
1601356,2025
1603864,1993
1606352,2015
1608864,2007
1611356,2049
1613764,2043
1616356,2055
1618760,2027
1621352,2039
1623860,2040
1626356,1997
1628768,2001
1631360,1954
1633864,2007
1636452,1977
1638864,2006
1641364,1976
1643860,2025
1646360,2009
1648940,2060
1651452,2034
1653964,1984
1656464,2038
1658960,2005
1661460,2000
1663952,2031
1666460,2065
1668960,1997
1671460,1991
1673952,2021
1676460,2047
1678964,2035
1681460,2006
1683940,2027
1686452,2062
1688960,2035
1691440,1996
1693960,2056
1696464,2042
1698960,2017
1701460,2009
1704052,1973
1706460,2006
1708960,2006
1711468,2056
1714052,2062
1716552,1983
1719056,1989
1721556,1991
1723968,2004
1726560,2063
1728964,2032
1731540,2010
1733964,2000
1736552,2000
1739052,2061
1741556,2045
1744064,2087
1746556,1989
1749064,2071
1751564,1997
1754156,2021
1756564,2004
1759152,2041
1761660,2020
1764160,2050
1766660,2006
1769160,2070
1771656,2066
1774064,2042
1776556,2031
1779064,2009
1781564,2061
1784064,2072
1786564,1980
1789156,1994
1791660,1978
1794160,1974
1796664,2079
1799152,2086
1801664,2069
1804152,2018
1806652,1977
1809156,1992
1811656,2044
1814064,2058
1816640,2045
1819068,1966
1821652,1977
1824140,1997
1826652,1999
1829152,2004
1831656,2048
1834156,2047
1836564,2056
1839160,2074
1841652,2049
1844156,2039
1846652,2066
1849152,2020
1851652,2054
1854060,2000
1856652,2021
1859152,2009
1861664,2023
1864156,2067
1866656,2060
1869164,1991
1871664,2084
1874160,2006
1876664,2002
1879160,2018
1881664,1994
1884156,1969
1886652,1994
1889160,2001
1891656,2010
1894156,2064
1896740,2011
1899156,2060
1901664,2052
1904252,2079
1906660,2055
1909252,1963
1911760,2050
1914256,1971
1916760,2031
1919352,2045
1921764,2060
1924260,2044
1926764,1995
1929352,2048
1931856,2022
1934264,1957
1936764,2014
1939268,2008
1941764,2026
1944264,1987
1946856,2059
1949268,2027
1951860,2021
1954364,2056
1956856,2003
1959364,2028
